chapter_id, name, description, lat, lon, city, state, country, urlname, member_count, founded_date, last_event, past_events, topics
18934089," ""MongoDB Ecuador"""," ""<p>Este grupo esta pensado para desarrolladores de software y para personas interesadas en aprender sobre MongoDB. la base de datos de cÌ_digo abierto basada en documentos JSON.</p>""",-0.003316126,-1.3700835," ""Quito""", ," ""Ecuador""", MongoDB-Ecuador,169," ""2015-09-15T09:19:23-04:00[US/Eastern]"""," ""2016-09-29T01:00:00-04:00[US/Eastern]""",5," ""Open Source. Database Professionals. JavaScript. Technology. Big Data. Database Development. Data Analytics. Computer programming. Cross Platform Development. MongoDB. document databases. Big Data Analytics"""
1780459," ""Stockholm MongoDB User Group"""," ""<p>FÌ_r anvÌ_ndare eller intresserade av dokumentdatabasen MongoDB.</p> <p>For users of the non-relational. open source. document-oriented database MongoDB.</p>""",1.0355039,0.315381," ""Stockholm""", ," ""Sweden""", Stockholm-MongoDB-User-Group,606," ""2011-02-08T16:01:26-05:00[US/Eastern]"""," ""2015-02-25T12:30:00-05:00[US/Eastern]""",18," ""Open Source. Technology. Database Development. NoSQL. MongoDB"""
20227297," ""Western New York MongoDB User Group"""," ""<p>This group is a place for developers in the Rochester. Buffalo. and Syracuse area to learn more about MongoDB. an open source. document-oriented. NoSQL database. If you are facing challenges with MySQL or Postgres or Oracle and want to explore a more flexible. scalable alternative. please join us at one of our regular sessions.</p>""",0.7534586,-1.3543755," ""Rochester"""," ""NY"""," ""USA""", Western-New-York-MongoDB-User-Group,33," ""2016-07-26T14:33:35-04:00[US/Eastern]""", ,0," ""Open Source. Technology. Big Data. Data Analytics. Computer programming. NoSQL. MongoDB. Big Data Analytics"""
19742223," ""El Salvador MongoDB User Group"""," ""<p>Un lugar para que desarrolladores puedan aprender acerca de MongoDB.&nbsp;</p> <p> <br></p> <p>A place for developers to learn about MongoDB.</p>""",0.23893556,-1.5566592," ""San Salvador""", ," ""El Salvador""", El-Salvador-MongoDB-User-Group,23," ""2016-03-21T23:43:01-04:00[US/Eastern]""", ,0," ""JavaScript. Big Data. Data Analytics. NoSQL. MongoDB. Using MongoDB in the cloud. Big Data Analytics. MongoDB on Azure"""
3612682," ""MongoDB User Group Berlin (@MUGBerlin)"""," ""<p>Meet. discuss and exchange stuff about MongoDB in Berlin.</p>""",0.91664696,0.23352505," ""Berlin""", ," ""Germany""", MUGBerlin,674," ""2012-04-05T11:50:11-04:00[US/Eastern]"""," ""2016-09-20T12:30:00-04:00[US/Eastern]""",25," ""User Group. berlin. NoSQL. MongoDB"""
19045196," ""Utah MongoDB User Group"""," ""This group is a place for developers. DBAs. CTOs. CIOs. and architects to share best practices on building and managing applications with MongoDB.""",0.71139616,-1.9530234," ""Salt Lake City"""," ""UT"""," ""USA""", Utah-MongoDB-User-Group,353," ""2015-10-20T12:55:40-04:00[US/Eastern]"""," ""2016-09-29T20:30:00-04:00[US/Eastern]""",13," ""Java. PHP. Open Source. Ruby. Data Management. Cloud Computing. Hadoop. Big Data. High Scalability Computing. Data Analytics. SQL. Computer programming. NoSQL. MongoDB. Big Data Analytics"""
19626522," ""Keizer MongoDB User Group"""," ""This is a group for those interested in learning more about the Open Source database MongoDB. All levels of experience are welcome. So whether you've been playing with MongoDB for a few months. or have built and scaled a robust MongoDB powered website. this group is for you. We will plan to meet on a regular basis and will focus on presentations. sharing our experience and use cases. and study sessions. We'd love to hear what you'd like to see out of the group and how you can help contribute to this growing community.""",0.78557265,-2.147104," ""Keizer"""," ""OR"""," ""USA""", Keizer-MongoDB-User-Group,18," ""2016-02-25T19:42:33-05:00[US/Eastern]""", ,0," ""Open Source. New Technology. Technology. Data Analytics. Computer programming. MongoDB. Big Data Analytics"""
18760925," ""Orlando MongoDB User Group"""," ""<p>This group is a place for developers. systems admins. and tech enthusiasts to learn more about the open source. document-oriented database MongoDB. &nbsp;MongoDB is the leading NoSQL database and many organizations are adopting this technology. &nbsp;If you are facing challenges with MySQL or Postgres or Oracle and want to explore a more flexible. scalable alternative. please join us at one of our sessions. &nbsp;</p>""",0.49811697,-1.4201745," ""Orlando"""," ""FL"""," ""USA""", Orlando-MongoDB-User-Group,254," ""2015-07-22T15:41:39-04:00[US/Eastern]"""," ""2016-10-13T18:30:00-04:00[US/Eastern]""",11," ""Java. PHP. Open Source. Ruby. Python. JavaScript. Scala. Big Data. Computer programming. NoSQL. nodeJS"""
4247302," ""Richmond MongoDB User Group"""," ""<p>This group is a place for developers to learn more about MongoDB. an open source. document-oriented. nosql database.</p>""",0.657291,-1.3531537," ""Glen Allen"""," ""VA"""," ""USA""", Richmond-MongoDB-User-Group,167," ""2012-07-06T16:44:16-04:00[US/Eastern]"""," ""2015-10-27T18:00:00-04:00[US/Eastern]""",17," ""Database Professionals. New Technology. Database Development. NoSQL. MongoDB"""
3931592," ""MongoDB Roma"""," ""<p>MongoDB Roma nasce con l'idea di attirare persone interessate alla tecnologia NoSQL ed in particolar modo quelle entusiaste di MongoDB. Le attivitÌÊ del gruppo saranno localizzate prevalentemente a Roma. da qui l'origine del nome. Ovviamente non si escludono eventi fuori dal contesto romano. Il gruppo Ì¬ aperto a tutti. piÌ_ siamo. meglio Ì¬!</p>""",0.73129296,0.21781708," ""Roma"""," ""RM"""," ""Italy""", MongoDB-Roma,199," ""2012-05-24T11:30:49-04:00[US/Eastern]"""," ""2014-11-08T08:30:00-05:00[US/Eastern]""",9," ""Java. PHP. Python. JavaScript. Cloud Computing. Hadoop. Big Data. MapReduce. SaaS (Software as a Service). NoSQL. JBoss Enterprise Middleware. nodeJS. MongoDB. Graph Databases"""
